               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1063,            0.062267,            0.037803,                   0,                   0,                   0,                   0,            0.094292,            0.044827,            0.026343,              0.0946,              0.0006,              0.0006
                   1,             0.11636,            0.061937,            0.033761,          0.00033333,           0.0016578,          0.00016809,          2.3547e-05,            0.089477,            0.053864,             0.02049,            0.088274,           0.0012743,           0.0012743
                   2,            0.099712,            0.056653,            0.020916,             0.26197,            0.010279,           0.0035429,          0.00068942,            0.082057,            0.052694,            0.015073,            0.081921,           0.0019208,           0.0019208
                   3,            0.093976,            0.052667,             0.02012,             0.28628,            0.058531,            0.017174,           0.0033909,            0.077037,            0.054455,            0.013297,             0.07554,           0.0025396,           0.0025396
                   4,            0.089722,            0.056738,            0.016097,             0.79042,            0.096485,            0.033184,           0.0082013,            0.078232,            0.085443,             0.01293,            0.069131,           0.0031307,           0.0031307
                   5,            0.069279,            0.060437,            0.011204,             0.81315,             0.12599,            0.058787,            0.013785,            0.064819,            0.067495,            0.011685,            0.062694,           0.0036941,           0.0036941
                   6,            0.077806,            0.066864,            0.014365,             0.82579,              0.1124,             0.07153,            0.019117,            0.064977,            0.075289,            0.011353,             0.05623,           0.0042298,           0.0042298
                   7,            0.086158,            0.061917,            0.014922,             0.77628,             0.12633,            0.025582,           0.0063846,            0.069591,             0.06639,            0.011176,            0.049738,           0.0047377,           0.0047377
                   8,            0.083074,            0.063551,            0.013259,              0.7743,            0.049072,             0.02009,           0.0041321,            0.072892,            0.073798,            0.011075,            0.043218,           0.0052179,           0.0052179
                   9,            0.077943,            0.066631,            0.013665,              0.7965,             0.15022,             0.05143,            0.017317,            0.065767,            0.076323,            0.010895,             0.03667,           0.0056704,           0.0056704
                  10,            0.077184,            0.061228,            0.013843,            0.022513,             0.28423,            0.028196,           0.0064243,            0.071549,            0.070307,            0.010892,            0.030095,           0.0060952,           0.0060952
                  11,            0.082732,            0.051516,            0.012067,             0.80936,             0.12532,            0.065385,            0.016199,            0.082342,            0.046523,            0.010843,            0.023492,           0.0064923,           0.0064923
                  12,             0.10089,            0.047977,            0.016811,             0.83801,            0.067308,            0.075498,            0.020682,             0.06763,            0.050659,            0.010892,            0.016862,           0.0068616,           0.0068616
                  13,             0.08527,            0.047111,            0.015994,            0.007266,            0.079301,            0.005052,           0.0012066,            0.088021,            0.058758,            0.010715,            0.010203,           0.0072032,           0.0072032
                  14,            0.086503,            0.060087,            0.014245,             0.84581,             0.10444,              0.1073,             0.03009,             0.06062,            0.073032,            0.011002,            0.007228,            0.007228,            0.007228
